cranberry jell-o|gelatin;cranberry
Jones&reg; Blue Bubble-gum soda|soda;bubble-gum
Pepe Lopez&reg; cream of coconut|cream;coconut
100 proof vodka|vodka
Cactus Cooler&reg; orange-pineapple soda|soda;orange-pineapple
La Grande Passion&reg; liqueur|liqueur;passion fruit
Natural&reg; Ice lager|beer;lager
Johnnie Walker&reg; Black Label Scotch whisky|whiskey;scotch
Bacardi&reg; Carta Blanca white rum|rum;light
Tullamore Dew&reg; Irish whiskey|whiskey;irish
Brennivin&reg; schnapps|schnapps;caraway
Yellow Chartreuse&reg;|liqueur;herbal
Kirschwasser&reg; cherry brandy|brandy|flavoured;cherry
Faygo&reg; grape soda|soda;grape
Malibu&reg; pineapple rum|rum;flavoured;pineapple
Mountain Dew&reg; Baja Blast lime soda|soda;lime
La Paz&reg; strawberry margarita mix|mix;strawberry margarita
Mcguire's&reg; Irish cream|liqueur;cream;irish
Tampico&reg; fruit punch|punch;fruit
Rumple Minze&reg; peppermint liqueur|liqueur;peppermint
berry juice|juice;berry
black pepper|pepper;black
strawberry guava juice|juice;strawberry guava
7-Up&reg; Plus Island Fruit soda|soda;fruit
pomegranate|fruit;pomegranate
vanilla extract|extract;vanilla
raki liqueur|liqueur;raki
lychee liqueur|liqueur;lychee
pecan nuts|fruit;pecan nuts
Tia Maria&reg; coffee liqueur|liqueur;coffee
DeKuyper&reg; Marasquin cherry liqueur|liqueur;cherry
Snapple&reg; Lightning soda|energy;black tea
key lime|fruit;key lime
purple passion mix|mix;purple passion
orange syrup|syrup;orange
strawberry crush|soda;strawberry
French vermouth|vermouth
framboise raspberry liqueur|liqueur;raspberry
fruit cocktail|fruit cocktail
paraiso|wine
pineapple liqueur|liqueur;pineapple
Stolichnaya&reg; orange vodka|vodka;flavoured;orange
nut-toffee schnapps|schnapps;nut-toffee
wildberry schnapps|schnapps;wildberry
Finlandia&reg; vodka|vodka
nuts|fruit;nut
UV Blue|vodka;flavoured;blueberry
George Dickel&reg; Tennessee whiskey|whiskey;tennessee
Carolans&reg; Irish cream|liqueur;cream;irish
Marie Brizard&reg; Poire Williams pear liqueur|liqueur;pear
cumin|seed;cumin
Bols&reg; creme de bananes|liqueur;banana
red bell peppers|pepper;bell;red
Lord Calvert&reg; Canadian whisky|whiskey;canadian
Smirnoff&reg; watermelon vodka|vodka;flavoured;watermelon
banana|fruit;banana
Coca Buton&reg; herbal liqueur|liqueur;herbal
peach passion-fruit jello|jello;peach
sweet gin|gin;sweet
Marie Brizard&reg; orange curacao|liqueur;curacao
melon vodka|vodka;flavoured;melon
Manila&reg; dark rum|rum;dark
strawberry daiquiri mix|mix;strawberry
Mountain Dew&reg; MDX energy drink|energy
DaVinci Gourmet&reg; vanilla syrup|syrup;vanilla
Bacardi&reg; black rum|rum;dark
grapefruits|fruit;grapefruit
blackcurrant squash|squash;blackcurrant
Absolut&reg; pepper vodka|vodka;flavoured;pepper
Glenlivet&reg; Scotch whisky|whiskey;scotch
fieldberry juice|juice;fieldberry
ojen anise liqueur|liqueur;anise
Crystal Light&reg; Sunrise Classic Orange mix|powder;orange
Jim Beam&reg; rye whiskey|whiskey;rye
Bombay Sapphire&reg; gin|gin
Turkish apple tea|tea;apple
Blavod&reg; vodka|vodka;black
creme d'Armagnac|liqueur;armagnac
Barrett's&reg; Ginger Beer|beer;ginger
Kwai Feh&reg; lychee liqueur|liqueur;lychee
Captain Morgan&reg; coconut rum|rum;flavoured;coconut
wild cherry liqueur|liqueur;wild cherry
Mad Dog&reg; grape wine|wine;red
Tio Pepe&reg; sherry|wine;sherry
Vermeer&reg; Dutch Chocolate Cream liqueur|liqueur;chocolate
peach kernel|fruit;peach;kernel
Two Fingers&reg; gold tequila|tequila;gold
mango nectar|juice;mango
Country Time&reg; raspberry lemonade mix|lemonade;mix;raspberry
maraschino cherry juice|juice;cherry;maraschino
Teichenne&reg; butterscotch schnapps|schnapps;flavoured
Sunkist&reg; orange soda|soda;orange
apfelkorn liqueur|liqueur;apple
Old Orchard&reg; pomegranate blueberry juice|juice;pomegranate;blueberry
Zima|alcopop;citrus
Triple Eight&reg; cranberry vodka|vodka;flavoured;cranberry
E&J&reg; brandy|brandy
Marie Brizard&reg; apple liqueur|liqueur;apple
falernum syrup|syrup;falemum
Pepsi&reg; Wild Cherry cola|cola;wild cherry
Dulseda&reg; Dulce de Leche caramel liqueur|liqueur;caramel
pine-mango-guava juice|juice;pine-mango-guava
Stoli&reg; Kafya vodka|vodka;flavoured;coffee
mezcal|mezcal
Plum Juice|juice;plum
Kummel&reg; caraway liqueur|liqueur;caraway
erin cream|liqueur;chocolate
Stoli&reg; Limonnaya vodka|vodka;flavoured;lemon
cherry whiskey|whiskey;cherry
Everfresh&reg; orange juice|juice;orange
coconut milk|milk;coconut
Powerade&reg; lemon-lime powder|powder;lemon
Farigoule&reg; thyme liqueur|liqueur;thyme
POM&reg; pomegranate juice|juice;pomegranate
Hennessy&reg; cognac|cognac
dry vermouth|vermouth;dry
Luxardo&reg; limoncello|liqueur;lemon
Ricard&reg; pastis|liqueur;anise
Aqualibra&reg; fruit juice|juice;melon
Captain Morgan&reg; Parrot Bay mango rum|rum;flavoured;mango
prune|fruit;prune
McCormick's&reg; Hot Shot|pepper;blend
CocoRibe&reg; coconut rum|rum;flavoured;coconut
7-Up&reg; soda|soda;lime
Yukon Jack&reg; Canadian whisky|whiskey;canadian
Dr. Pepper&reg; soda|soda;flavoured
Welch's&reg; apple juice|juice;apple
Luxardo&reg; maraschino liqueur|liqueur;cherry
black peppers|pepper;black
blood orange vodka|vodka;flavoured;blood orange
raspberry ginger ale|ginger ale;raspberry
Martini & Rossi&reg; extra dry vermouth|vermouth;extra dry
Sunny Delight&reg; Tangy Original Style|punch;juice;citrus
okra|vegetable;okra
garlic|vegetable;garlic
dry sparkling wine|wine;dry;sparkling
Banff&reg; Ice vodka|vodka
Southern Comfort&reg; Black Label peach schnapps|schnapps;peach
creme de fraise|liqueur;strawberry
Bailey's&reg; Irish cream|liqueur;cream;whiskey
glycerine|glycerine
A&W&reg; root beer|beer;root
whisky sour mix|mix;sour whiskey
Jolt&reg; cola|cola
Smirnoff&reg; Maracuja Twist vodka|vodka;flavoured;passion fruit
Haitian dark rum|rum;dark
blueberry vodka|vodka;flavoured;blueberry
Absolut&reg; Citron vodka|vodka;flavoured;lemon
avocado|fruit;avocado
Burgundy wine|wine
topping
Greizer&reg; strawberry liqueur|liqueur;strawberry
orange schnapps|schnapps;orange
Donkey Kick&reg; energy drink|energy;citrus
Gosling's&reg; Black Seal rum|rum;dark
7-Up&reg; cherry soda|soda;cherry
MC2&reg; Berry Blue energy drink|energy;berry
Whaler's&reg; vanilla rum|rum;flavoured;vanilla
7-Up Plus soda|soda;lime
UV&reg; Green Apple vodka|vodka;flavoured;apple
Ocean Spray&reg; mango juice|juice;mango
cranberry|fruit;cranberry
Meyer lemon juice|juice;lemon
citrus soda|soda;citrus
Smirnoffå¨ No. 21 Vodka|vodka
Dr. Pepper vanilla soda|soda;vanilla
Blue Heron&reg; wine|wine
apple brandy|brandy;flavoured;apple
blackberry liqueur|liqueur;blackberry
Bacardi&reg; spiced rum|rum;spiced
American whiskey|whiskey;american
swiss chocolate almond liqueur|liqueur;chocolate;almond
Coca-Cola&reg; Diet Lime Coke|cola;lime
eau de vie brandy|brandy;fruit
Kool-Aid&reg; Grape mix|powder;grape
spiced cider|cider;spiced
lemon iced tea|ice tea;leamon
Marie Brizard&reg; creme de banane|liqueur;banana
celery|vegetable;celery
Underberg&reg; bitters|bitters;herbal
Cold Duck&reg; Champagne|wine;champagne
Old Potrero&reg; rye whiskey|whiskey;rye
Remy Martin&reg; cognac|cognac
Seagram's&reg; espresso vodka|vodka;flavoured;espresso
Von Dutch&reg; energy drink|energy
Rockstar&reg; Juiced Guava energy drink|energy
Ocean Spray&reg; grapefruit juice|juice;grapefruit
cherry cordial|chocolate;cherry
Cardamon|spice;cardamon
B & B&reg; benedictine|liqueur;herbal
Seagram's&reg; cherry brandy|brandy;flavoured;cherry
Arrow&reg; triple sec|liqueur;orange;triple sec
ginger syrup|syrup;ginger
Havana Club&reg; white rum|rum;light
Rockstar&reg; energy drink|energy
Crunk&reg; energy drink|energy
Marie Brizard&reg; Mango Passion liqueur|liqueur;mango
Zwack&reg; apricot brandy|brandy;flavoured;apricot
fruit juice|juice;fruit
chocolate fudge brownie|chocolate;brownie
Aftershock&reg; Cool Citrus mint schnapps|schnapps;citrus;mint
Polish vodka|vodka
Caramel|candy;caramel
creme de framboise|liqueur;raspberry
Seagram's&reg; ginger ale|ginger ale
Sailor Jerry&reg; spiced navy rum|rum;spiced
green apple wine cooler|wine;cooler;apple
Green Chili
E&J&reg; Cask & Cream brandy|liqueur;cream;brandy
Red Zinfandel wine|wine;red
Aristocrat&reg; triple sec|liqueur;orange;trople sec
Casa Noble&reg; Reposado tequila|tequila;aged
Triple Eight&reg; orange vodka|vodka;flavoured;orange
tea|tea
orange sherbet|sherbet;orange
Tropicana&reg; high-pulp orange juice|juice;orange
Bulmers&reg; cider|cider
pomegranate schnapps|schnapps;pomegranate
raspberry jam|jam;raspberry
cherry cola|cola;cherry
1800 Tequila|tequila
Monin bitter|syrup;bitter
Jubilee&reg; peach schnapps|schnapps;peach
green creme de menthe|liqueur;cream;mint
RedRum&reg; rum|rum;flavoured;tropical fruit
Vanille Royale&reg; vanilla cream liqueur|liqueur;cream;vanilla
Leinenkugel Berry Weiss|beer;flavoured
Ocean Spray&reg; cranberry juice|juice;cranberry
Romana&reg; black sambuca|liqueur;anise
Jose Cuervo&reg; silver tequila|tequila;white
Smirnoff&reg; Blue Label vodka|vodka
Cortas&reg; grenadine syrup|syrup;grenadine
Jamaican rum cream|liqueur;cream;rum
Irish cream|liqueur;cream
Koskenkorva&reg; vodka|vodka
Bacardi&reg; silver rum|rum;light
Skyy&reg; citrus vodka|vodka;flavoured;citrus
Bols&reg; cherry brandy|brandy;flevoured;cherry
Sunkist&reg; orange juice|juice;orange
margarita mix|mix;margarita
Bacardi&reg; Big Apple rum|rum;flavoured;apple
Maui&reg; tropical schnapps|schnapps;tropical fruit
papaya juice|juice;papaya
Martinelli's&reg; apple cider|cider;apple
redcurrant juice|juice;redcurrant
Casadores&reg; Bianco tequila|tequila;white
Sho Chiku Bai Sake|sake
creme de almond|liqueur;almond
jello|jello
cranberry liqueur|liqueur;cranberry
raspberry lemonade|lemonade;raspberry
blackberry brandy|brandy;flavoured;blackberry
Mike's Hard Lemonade Cranberry-Style|lemonade;hard;cranberry
jelly|gelatin
Danzig Goldwasser&reg; orange liqueur|liqueur;orange
Rose's&reg; lime juice|juice;lime
Cacique Yonique&reg; yogurt|yogurt
tangerine-grapefruit juice|juice;grapefruit
mint schnapps|schnapps;mint
clam juice|juice;calm
Jose Cuervo&reg; Mistico tequila|tequila;white;flavoured;citrus
spiced brandy|brandy;spiced
Vita Coco&reg; coconut water|water;coconut
Grey Goose&reg; La Poire vodka|vodka;flavoured
ginger ale|ginger ale
Sour Puss&reg; raspberry liqueur|liqueur;raspberry
Carlsberg&reg; Export lager|beer
Pimp&reg; apple juice|juice;apple
Tang&reg; powdered soft drink|powder;fruit
Heineken&reg; Special Dark lager|beer;dark
Banker's Club&reg; vodka|vodka
Coco Lopez&reg; cream of coconut|cream;coconut
Boone's Farm&reg; Strawberry Hill wine|wine;strawberry
Monin&reg; cherry syrup|syrup;cherry
Bacardi&reg; Superior rum|rum;light
ruby grapefruit juice|juice;grapefruit
cherry jell-o|jello;cherry
Mountain Dew&reg; Pitch Black II|soda;citrus
